order,type,name,label::english,label::somali,required,relevant,appearance,constraint,constraint_message,choice_filter,calculation,media::image::english,media::image::somali,hint:english,hint:somali
56,integer,minor_difficulties,b.      Minor difficulties carrying daily activities but does not need assistance or attention,"In yar oo dhibaato ayay ku tahay inay qabtaan hawl maalmeedka, Laakiin uma baahna in la kaalmeeyo ama fiiro gaar ah la siiyo?",TRUE,,,.<=${total_hh} and .>=0,Cannot be more than the total of person in the HH,,,,,,
57,integer,some_difficulties,c.      Some difficulties carrying daily activities and needs some assistance and attention (for e.g. 1-2 hours per day),"Dhibaato ayay ku tahay inay qabtaan hawl maalmeedka, waxayna u baahdaan in xoogaa la kaalmeeyo ama si gaara loo Ilaaliyo ( sida 1saac ilaa 2 saac maalintii?",TRUE,,,.<=${total_hh} and .>=0,Cannot be more than the total of person in the HH,,,,,,
58,integer,a_lot,d.      A lot of difficulty carrying daily activities and needs quite a bit of assistance and attention (for e.g. 3-6 hours per day),"Dhibaato aad u badan bay ku tahay inay qabtaan hawl maalmeedkooda, waxayna u baahan yihiin in mar walba la caawiyo ama la siiyo ilaalin dheeraad ah",TRUE,,,.<=${total_hh} and .>=0,Cannot be more than the total of person in the HH,,,,,,
59,integer,cannot_carry,e.      Cannot carry daily activities independently and needs permanent assistance and attention,Maba qaban karaan hawl maalmeedkooda haddii aan la kaalmaynin markasta.,TRUE,,,.<=${total_hh} and .>=0,Cannot be more than the total of person in the HH,,,,,,
60,end_group,disabilities_list,,,,,,,,,,,,,
61,select_one yes_no,disabilities_group,Is there at least one person with difficulties between 5 years old and above 59 years old?,Ma jiraa ugu yaraan hal qof oo ay haysato dhibaato oo u da`diisu tahay  5 sanno ilaa 59 sanno jir?,TRUE,"selected(${person_with_disabilities}, 'yes')",,,,,,,,,
62,begin_group,vuln,Other,"Haddii mid kale, fadlan qeex?",,,field-list,,,,,,,,
63,select_one yes_no,plw,Are there any female household members who have given birth in the past 6 months or who are pregnant?,"Ma jirtaa haweenay ka mid ah dadka qoyskaaga oo umushay 6 bilood ee u danbasay, ama leh uur/ xaamilo ah?",TRUE,${females_13_15}>0 or ${females_16_17}>0 or ${females_18_40}>0,,,,,,,,,
64,select_one y_n_dk,chronic,Are there any members in the household suffering from chronic disease (any illness which lasts 3 months of longer etc.)?,Ma jiraan dadka guriga degan cid la xanuunsan cudurada daaha 3 bilood ee danbeeyey ama ka badan?,TRUE,,,,,,,,,,
65,end_group,vuln,,,,,,,,,,,,,
66,end_group,,,,,,,,,,,,,,
67,begin_group,Other,Other Household Questions,Su'aalaha kale ee guriga,,"selected(${consensus},'yes')",,,,,,,,,
68,integer,working_persons,How many members of the household are currently engaged in remunerated work?,Imisa xubnood oo qayskiina kamida ayaa hada ka shaqeeya shaqo mushaari/mushahar ah?,TRUE,,,.<=${total_hh} and .>=0,Cannot exceed total number of person in the household,,,,,,
69,integer,lost_employment,How many members of the household lost their employment in the past 3 months/90 days?,Imisa xubnood oo qoyskiina kamida ayaa waayay shaqooyinkoodii 3dii bilood  ee lasoo dhaafay?,TRUE,,,.<=${total_hh} and .>=0,Cannot exceed total number of person in the household,,,,,,
70,select_multiple separation_reasons,reason_lost_employment,"Was the loss of employment due to flood, drought, or conflict?","Waayitaanka shaqada ma waxaa sababay daadad, abaaro mise colaado?",TRUE,${lost_employment} > 0,,"not(selected(.,'dnk') and count-selected(.) >1)",Cannot select 'don’t know' and any other option,,,,,,
71,text,reason_lost_employment_other,"Other, specify","kuwo kale, qeex?",TRUE,"selected(${reason_lost_employment},'other')",,,,,,,,,
72,select_one care_giving_time,care_giving_time,"How much time on average did household members spend in care-giving tasks (e.g. fetching water, preparing food, child-rearing) in the past 3 months/90 days?","Celceliska waqti ahaan imisa ayaa xubnaha qoysku kubixiyeen howlaha caawinta guriga sida( biyo dhaaminta, diyaarinta cuntada,haynta ilmaha) 3dii bilood ee la soo dhaafay?",TRUE,,,,,,,,,,
73,select_one income_average,average_income,What was the average household income (including remittances) in the past 3 months/90 days?,Celcelis ahaan waa maxay dakhliga qoyska soo galay( marka lagu daro lacagaha la idiin soo diro) 3diii bilod ee la soo dhaafay?,TRUE,,,,,,,,,,
74,select_one income_average,average_debt,What was the average household debt in the past 3 months/90 days?,Celcelis ahaan waa maxay deynta uu qosku galay 3dii bilood ee la soo dhaafay?,TRUE,,,,,,,,,,
75,select_one y_n_dk,fore_hhdebt,Do you believe that you will be able to repay household debt over the next year?,Ma kula tahay in qoysku gudi karo deyntaas sanadka soo socda?,TRUE,,,,,,,,,,
76,end_group,,,,,,,,,,,,,,
77,begin_group,C,Displacement ,barakac,,"selected(${consensus},'yes')",,,,,,,,,
78,select_one yes_no,yes_no_host,"Have you always lived here (NOT moved from another location in Somalia due to events such as flood, drought or conflict)? ","Weligaa ma halkan baad ku noolayd? ( aanan ka soo guurin meelkale oo soomaliya ka mid ah sababtuna ahayd daadad, abaaro ama colaad)",TRUE,,,,,,,,,,
79,select_one yes_no,hosting_idp,"Are you currently hosting any people who are not usually members of this household and who share resources, such as food and water, with you?",Hada wax dad ah oon qoyskan ka tirsanayn miyaa kula nool oo kula isticmaala cuntada iyo biyaha?,TRUE,"selected(${yes_no_host},'yes')",,,,,,,,,
80,select_one yes_no,yes_no_idp,Are you a Somali who has moved from another location in Somalia?,Ma waxatahay somali ka soo guuray  meel kale oo somaliya ah ?,TRUE,"selected(${yes_no_host},'no')",,,,,,,,,
81,select_one yes_no,yes_no_returnee,Are you a Somali returning to Somalia from another country?,ma waxaa tahay somali kasoo labtay wadan kale oon somaliya ahayn?,TRUE,"selected(${yes_no_host},""no"") and selected(${yes_no_idp},""no"")",,,,,,,,,
82,begin_group,idp,Internally displaced,Barakac Gudaha dalka,,"selected(${yes_no_idp},""yes"")",,,,,,,,,
83,select_one region,region_idp,In which region were you living before coming here?,gobolkee ku noolayd inta aadan halkan iman ka hor ?,TRUE,,,,,,,,,,
84,select_one district,district_idp,In which district were you living before coming here?,Degmadee ku noolayd intaadan halkan iman ka hor?,TRUE,,,,,region=${region_idp},,,,,
85,end_group,,,,,,,,,,,,,,
86,begin_group,returnee,Returnee,soo noqde,,"selected(${yes_no_returnee},""yes"")",,,,,,,,,
87,select_one return_country,returnee_country,From which country is the household returning?,Wadankee ayuu qoysku kasoo laabtay?,TRUE,,,,,,,,,,
88,text,returnee_country_other,"If other, please specify","haddii wadan kale yahay , fadlan sheeg",TRUE,"selected(${returnee_country},""other"")",,,,,,,,,
89,select_one yes_no,registered_return,Did you register for voluntary return with UNHCR or authorities in your place of refuge?,"Ma iska soo diwaan gelisay UNHCR ama maamuulka dawlada, markaad sida iskaaga ah ugu soo laabatay dalkaaga?",TRUE,"selected(${returnee_country},""kenya"")",,,,,,,,,
90,end_group,,,,,,,,,,,,,,
91,begin_group,refugees,Refugee - (Shouldn’t be from Somalia),Qaxooti-( waa in uusan somaliya ka iman),,"selected(${yes_no_returnee},""no"") and selected(${yes_no_host},""no"")",,,,,,,,,
92,select_one yes_no,refugee,Are you a person of another nationality who has travelled from another country?,ma waxaa tahay qof haysta dhalasho kale oo ka soo safray wadan ka,TRUE,,,"not(selected(.,'no'))",Cannot proceed further - go back to the displacement questions and read the questions carefuly,,,,,,
93,select_one return_country,country_origin,From which country did this household travel? _(Should not be from Somalia)_,Wadankee ayuu qoysku kasoo safray?(waa in uusan somaliya ka iman ),TRUE,"selected(${refugee},'yes')",,,,,,,,,
94,end_group,,,,,,,,,,,,,,
95,begin_group,why_displaced,Reasons for displacement,Sababaha loo barakacay ,,"selected(${yes_no_host},""no"")",,,,,,,,,
96,date,left_aoo,When did you leave your area of origin?,goormaad kasoo tagtay degaankaagii?,TRUE,"selected(${yes_no_host},""no"") ",month-year,. < today(),Must be before today,,,,,,
97,date,arrived_current,When did you arrive at the current location? (answer cannot be longer than previous answer),Goorma ayaad soogartay halkan? ( jawaaabtu waa in aysan ka badnayn jawabtii hore ),TRUE,,month-year,. <= today() and . >= ${left_aoo},Cannot be before date left AoO,,,,,,
98,calculate,difference_arrived_today_days,,,,,,,,,today() - ${arrived_current},,,,
99,calculate,difference_arrived_left_days,,,,,,,,,${arrived_current} - ${left_aoo},,,,
100,note,displacement_note,Which are the two main reasons for why you left your previous location?,Waa maxay labada sababood ee ugu weyn ee aad uga soo tagtay degaankaagii?,,,,,,,,,,,
101,select_one reason1,disp_why1,First reason,sababta kooowaad ,TRUE,,,,,,,,,,
102,select_one reason1,disp_why2,Second reason,sababta labaad ,TRUE,"not(selected(${disp_why1},""none"")) and not(selected(${disp_why1},""dontknow""))",,"not(selected(., ${disp_why1}))",Can't select same as the first reason,name != ${disp_why1},,,,,
103,note,disp_current_note,Which are the two main reasons for why you chose to come to this location?,waa maxay labada sababood ee ugu weyn ee aad halkan ku dooratay?,,,,,,,,,,,
104,select_one reason2,dest_loc_why1,First reason,Sabata koowaad ,TRUE,,,,,,,,,,
105,select_one reason2,dest_loc_why2,Second reason,Sababta labaad ,TRUE,"not(selected(${dest_loc_why1},""none"")) and not(selected(${dest_loc_why1},""dontknow""))",,"not(selected(., ${dest_loc_why1}))",Can't select the first reason,name != ${dest_loc_why1},,,,,
106,select_one returnee_remain,returnee_remain_here,Do you intend to remain and settle in this location permanently?,Ma kuu qorshaysantahay in aad halkan si joogta ah ugu nagaato ?,TRUE,,,,,,,,,,
107,select_one date2,when_continue,When will you move to your intended destination?,goormee u guuraysaa meesha aad rabto?,TRUE,"not(selected(${returnee_remain_here},""yes"") or selected(${returnee_remain_here}, ""dontknow""))",,,,,,,,,
108,select_one region,region_intended,Region,Gobol,TRUE,"selected(${returnee_remain_here},""elsewhere_somalia"")",,,,,,,,,
109,select_one district,district_intended,District,Degmo,TRUE,"selected(${returnee_remain_here},""elsewhere_somalia"")",,,,region=${region_intended},,,,,
110,end_group,,,,,,,,,,,,,,
111,end_group,,,,,,,,,,,,,,
112,begin_group,E,Education,Waxbarashada,,"selected(${consensus},'yes')",,,,,,,,,
113,begin_group,education_level,Education levels,Heerka Waxbarashada,,,field-list,,,,,,,,
114,note,education_level_note,How many people in your household have achieved the following education levels? (including adults),Intee qof baa gaadhay heerkan waxbarasho ee soo socda dadka degan guriga?,,,,,,,,,,,
115,select_one number_degrees,primary_degree,Primary level degree (primary school and secondary school),Dugsiga hoose iyo dhexe,TRUE,,minimal,,,,,,,,
116,select_one number_degrees,secondary_degree,Secondary level degree (high school),Dugsiga Sare,TRUE,,minimal,,,,,,,,
117,select_one number_degrees,vocational_degree,"Vocational degree (training on specific craft or job, for e.g. IT, electrician, carpenter, mechanic, cooking, sewing, etc.)","Shahaada farsamada gacanta ( Tababar ku saabsan cilmiga tiknoolajiyada, koranta yaqaan, Nijaarada/faryaamo, makaanimada, karinta cunnada, tolida dharka?",TRUE,,minimal,,,,,,,,
118,select_one number_degrees,tertiary_degree,"Tertiary degree (university degree, for e.g. bachelor, master, or PhD)",Heer jamacadeed ( sida shahaadada kowaad ( digriiga) shahaadada labaad ( mastarka) ama shahaadada saddexaad ( PhD) ,TRUE,,minimal,,,,,,,,
119,end_group,,,,,,,,,,,,,,
120,begin_group,enrollement,Enrollment,Isdiiwan gelinta waxbarashada,,,field-list,,,,,,,,
121,note,enrollement_note,Please specify the age and gender of the children that are currently enrolled in school since the past 3 months/90 days,Fadlan sheeg da`da iyo jinsiyada caruurta laga diwaan geliyey goobaha waxbarasho 3dii bilood la soo dhaafay?,,,,,,,,,,,
122,integer,enrolled_boys_5_12,How many boys aged 5-12 are enrolled in school?,Imisa wiil (5-12 jir) ayaa qoran/ diwaan gashan dugsi waxbarasho?,TRUE,${males_5_12}>0,,.<=${males_5_12} and .>=0,Cannot exceed total males of 5-12 years in household,,,,,,
123,integer,enrolled_girls_5_12,How many girls aged 5-12 are enrolled in school?,Imisa gabdho (5-12 jir) ayaa qoran/ diwaan gashan dugsi waxbarasho?,TRUE,${females_5_12}>0,,.<=${females_5_12} and .>=0,Cannot exceed total females of 5-12 years in household,,,,,,
124,integer,enrolled_boys_13_17,How many boys aged 13-17 are enrolled school?,Imisa wiil(13-17 jir) ayaa qoran/ diwaan gashan dugsi waxbarasho?,TRUE,${males_13_15}+${males_16_17}>0,,.<=${males_13_15}+${males_16_17} and .>=0,Cannot exceed total under 18 male in household,,,,,,
125,integer,enrolled_girls_13_17,How many girls aged 13-17 are enrolled in school?,Imisa gabdho (13-17 jir) ayaa qoran/ diwaan gashan dugsi waxbarasho?,TRUE,${females_13_15}+${females_16_17}>0,,.<=${females_13_15}+${females_16_17} and .>=0,Cannot exceed total under 18 female in household,,,,,,
126,end_group,,,,,,,,,,,,,,
127,calculate,boys_enrolled,,,,,,,,,"if(${males_5_12} = 0, 0,${enrolled_boys_5_12}) + if(${males_13_15}+${males_16_17} = 0, 0, ${enrolled_boys_13_17})",,,,
128,calculate,girls_enrolled,,,,,,,,,"if(${females_5_12} = 0, 0,${enrolled_girls_5_12}) + if(${females_13_15}+${females_16_17} = 0, 0, ${enrolled_girls_13_17})",,,,
129,calculate,enrolled_total,,,,,,,,,"if(${males_5_12} = 0, 0,${enrolled_boys_5_12}) + if(${males_13_15}+${males_16_17} = 0, 0, ${enrolled_boys_13_17}) + if(${females_5_12} = 0, 0,${enrolled_girls_5_12}) + if(${females_13_15}+${females_16_17} = 0, 0, ${enrolled_girls_13_17})",,,,
130,calculate,not_enrolled_total,,,,,,,,,${school_age_male}+${school_age_female}-${enrolled_total},,,,
131,begin_group,attendance,Attendance,Xaadirintaanka dugsiga ,,${enrolled_total}>0,field-list,,,,,,,,
132,note,attendance_note,How many children in the household currently attend school for more than 3 days per week since the past 3 months/90 days?,Imisa  caruura ayaa dugsiga xaadirtay in ka badan 3 maalmood asbuuci saddexdii bilood ee la soo dhaafay?,,,,,,,,,,,
133,integer,attend_boys_5_12,How many boys aged 5-12 attend education?,Imisa wiil (5-12 jir) ayaa aada waxbarasho?,TRUE,${enrolled_boys_5_12}>0,,.<=${enrolled_boys_5_12} and .>=0,Cannot exceed total males of 5-12 years enrolled in school,,,,,,
134,integer,attend_girls_5_12,How many girls aged 5-12 attend education?,Imisa gabdho (5-12 jir) ayaa aada waxbarasho?,TRUE,${enrolled_girls_5_12}>0,,.<=${enrolled_girls_5_12} and .>=0,Cannot exceed total females of 5-12 years enrolled in school,,,,,,
135,integer,attend_boys_13_17,How many boys aged 13-17 attend education?,Imisa wiil(13-17 jir) ayaa aada waxbarasho?,TRUE,${enrolled_boys_13_17}>0,,.<=${enrolled_boys_13_17} and .>=0,Cannot exceed total under 18 male enrolled in school,,,,,,
136,integer,attend_girls_13_17,How many girls aged 13-17 attend education?,Imisa gabdho (13-17 jir) ayaa aada waxbarasho?,TRUE,${enrolled_girls_13_17}>0,,.<=${enrolled_girls_13_17} and .>=0,Cannot exceed total under 18 female enrolled in school,,,,,,
137,end_group,,,,,,,,,,,,,,
138,calculate,boys_attend,,,,,,,,,"if(${males_5_12} = 0, 0,${attend_boys_5_12}) + if(${males_13_15}+${males_16_17} = 0, 0, ${attend_boys_13_17})",,,,
139,calculate,girls_attend,,,,,,,,,"if(${females_5_12} = 0, 0,${attend_girls_5_12}) + if(${females_13_15}+${females_16_17} = 0, 0, ${attend_girls_13_17})",,,,
140,calculate,attend_total,,,,,,,,,"if(${males_5_12} = 0, 0,${attend_boys_5_12}) + if(${males_13_15}+${males_16_17} = 0, 0, ${attend_boys_13_17}) + if(${females_5_12} = 0, 0,${attend_girls_5_12}) + if(${females_13_15}+${females_16_17} = 0, 0, ${attend_girls_13_17})",,,,
141,calculate,not_attend_total,,,,,,,,,${school_age_male}+${school_age_female}-${attend_total},,,,
142,select_one y_n_dk,attend_previous,They are ${not_attend_total} child(en) that do not attend school regurlary. Were these children attending school for more than 3 days in the last 12months/1 year?,Waxa weyaan ${not_attend_total} caruur inta aanan xaadirin dugsiga si joogto ah. Caruurtani miyey xaadiri jirtay 3 maalmood asbuucii sanadii la soo dhafay?,TRUE,${not_attend_total}>0 and ${total_children}>0,,,,,,,,,
143,select_one all_some_none_dnk,drop_out,Have any children dropped-out of school in the last 12months/1 year?,Ma jiraa caruur ka hadhay dugisga sanadkii u danbeeyey?,TRUE,,,,,,,,,,
144,select_multiple drop_out_choices,drop_out_reason,What was the main reason for children dropping out of school?,Maxay ahayd sababta ugu weyn ee caruurtu uga hadheen dugsiga?,TRUE,"selected(${drop_out}, 'all') or selected(${drop_out}, 'some')",,,,,,,,,
145,select_one yes_no,pay_education,Do you pay for education?,Ma ku  bixisaa lacag waxbarashada? ,TRUE,,,,,,,,,,
146,select_one usd_price_education,cash_bracket_education,"How much on average did the household spend on children's education (school fees, uniforms, books, etc.) in the past 3 months?","Intee ku bixisaan waxbarashada celcelis ahaan sida ( kharashaadka dugsiga, direes, bugaagta, iyo wixii la mid ah) 3dii bilood ee u danbeeyey?",TRUE,"selected(${pay_education},'yes')",,,,,,,,,
147,select_one change_price,education_price_change,Has this cost increased or decreased in the past 3 months?,Kharashaadka ama  lacagta aad ku bixiseen 3dii bilood ee u danbaysay ma kor bay u kacday mise hoos bay u dhacday?,TRUE,"selected(${pay_education},'yes')",,,,,,,,,
148,select_one time,time_school,"How long does it take the children to go to the nearest educational facility (primary, secondary, vocational, quoranic, basic literacy and numeracy classes, university)?","Intee bay ku qaadanaysaa caruurta inay gaadhaan goobta waxbarasho ee ugu dhow( Dugsi Hoose, Sare, Farsamo gacameed, Quraan, fasallo lagu barto wax tirinta ama akhriska ama Jamacada?",TRUE,,,,,,,,,,
149,select_one transport_type,transport_school,How do you get there? ,Sidee bay ku tagaan goobta waxbarasho?,TRUE,,,,,,,,,,
150,select_one yes_no,access_school,Have you been able to access the educational facility?,Ma awoodeen inaad tagtaan goobta waxbarashada?,TRUE,,,,,,,,,,
151,begin_group,school_barriers,School barriers,Caqabadaha hortogaan waxbarashada/ dugsiyada,,"selected(${access_school},'no')",,,,,,,,,
152,note,school_barrier_note,What are the 3 mains concerns you have for school enrollment or attendance?,Waa maxay 3da arimood ee ugu waaweyn ee ka hortaagan caruurtu inay isdiwaan geliyaan ama xaadiraan dugsiga?,,,,,,,,,,,
153,select_one school_barriers,school_barrier_first,First reason,Sababta Kowad,TRUE,,,"not(selected(.,""none""))",First barrier cannot be none,,,,,,
